tag_id,party_id,log_time
idTA0rLdLf,55545230-b21b-48a2-92fa-833a0d05642d,17:58
KDRr1OBate,55545230-b21b-48a2-92fa-833a0d05642d,17:58
T6MJcGuR4A,55545230-b21b-48a2-92fa-833a0d05642d,17:58
bvLNgE3c1W,55545230-b21b-48a2-92fa-833a0d05642d,17:58
SwyxlymKkU,55545230-b21b-48a2-92fa-833a0d05642d,17:58
BrUljSKlVv,55545230-b21b-48a2-92fa-833a0d05642d,17:58
Lqz88vfZco,c8378874-1059-43ea-bef2-a6b31fcafbfc,18:02
GoDtwhjIPo,c8378874-1059-43ea-bef2-a6b31fcafbfc,18:02
8E1aIL4AMY,c8378874-1059-43ea-bef2-a6b31fcafbfc,18:02
KsYQmSUGnp,c8378874-1059-43ea-bef2-a6b31fcafbfc,18:02
spz3WuTL4V,c8378874-1059-43ea-bef2-a6b31fcafbfc,18:02
G3CqwH7qHi,9c74dd77-9c93-422f-b388-b85fd18dd0af,18:08
efLTPcCRtU,9c74dd77-9c93-422f-b388-b85fd18dd0af,18:08
TSREBDfVYl,9c74dd77-9c93-422f-b388-b85fd18dd0af,18:08
mJsRjkcFFA,9c74dd77-9c93-422f-b388-b85fd18dd0af,18:08
1oazHce9po,9c74dd77-9c93-422f-b388-b85fd18dd0af,18:08
QC0pMZczww,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
SFrbQploZj,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
6aDYIvUK2m,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
WhYp0zh5yf,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
gW774XYt5E,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
yzveqEtv1B,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
yzveqEtv1B,28ccf541-caa9-428c-a113-e7fc37bc2044,18:08
lT6Ob7J8DM,2ada00dc-86f4-4b46-aec6-693132120cec,18:08
7ms510yZzh,2ada00dc-86f4-4b46-aec6-693132120cec,18:08
SchLql9mOU,2ada00dc-86f4-4b46-aec6-693132120cec,18:08
qKd0Mcx66L,2ada00dc-86f4-4b46-aec6-693132120cec,18:08
5dgq4aSB9Z,956274dd-5467-4260-aabc-29370fd03b5e,18:08
4L5WRKQWEA,956274dd-5467-4260-aabc-29370fd03b5e,18:08
J9J17PQAdO,3aaff99a-b8aa-4959-b92d-e5e53fd32139,18:05
NB1VYzChDf,3aaff99a-b8aa-4959-b92d-e5e53fd32139,18:05
WwsTvaAvF2,3aaff99a-b8aa-4959-b92d-e5e53fd32139,18:05
lUaz8hsyVb,3aaff99a-b8aa-4959-b92d-e5e53fd32139,18:05
0QSpIySuhm,3aaff99a-b8aa-4959-b92d-e5e53fd32139,18:05
mwLiDcFotQ,9749df63-d162-4933-bad3-d42e6476ccca,18:21
p2KX7py7u1,9749df63-d162-4933-bad3-d42e6476ccca,18:21
mwLiDcFotQ,9749df63-d162-4933-bad3-d42e6476ccca,18:21
p2KX7py7u1,9749df63-d162-4933-bad3-d42e6476ccca,18:21
mwLiDcFotQ,9749df63-d162-4933-bad3-d42e6476ccca,18:21
p2KX7py7u1,9749df63-d162-4933-bad3-d42e6476ccca,18:21
